"Input Order","Search Term","Yeast GeneID","SGDID","Yeast Symbol","Species 2","Human GeneID","Human Species Gene ID","Human Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"37","NAM7","855104","S000004685","NAM7","Human","85441","30021","HELZ2","ENSG00000130589","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (HELZ2)    DRscDB Data: (HELZ2)                             Human Protein Atlas  (HPA)"
"37","NMD4","851077","S000004355","NMD4","","none found","","","","","","","","","","","",""
"38","NOC4","856267","S000006348","NOC4","Human","79050","28461","NOC4L","ENSG00000184967","12","11.78","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (NOC4L)    DRscDB Data: (NOC4L)                             Human Protein Atlas  (HPA)"
"39","NUP53","855184","S000004762","NUP53","Human","129401","29797","NUP35","ENSG00000163002","4","3.93","high","Yes","Yes","Compara, OrthoFinder, orthoMCL, Panther","","Add","G2F details (NUP35)    DRscDB Data: (NUP35)                             Human Protein Atlas  (HPA)"
"40","PAT1","850440","S000000673","PAT1","Human","219988","26721","PATL1","ENSG00000166889","8","7.97","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, Panther, RoundUp, TreeFam","","Add","G2F details (PATL1)    DRscDB Data: (PATL1)                             Human Protein Atlas  (HPA)"
"40","PAT1","850440","S000000673","PAT1","Human","197135","33630","PATL2","ENSG00000229474","7","7.01","moderate","No","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, Panther, RoundUp","","Add","G2F details (PATL2)    DRscDB Data: (PATL2)                             Human Protein Atlas  (HPA)"
"41","PEX14","852724","S000003121","PEX14","Human","5195","8856","PEX14","ENSG00000142655","11","10.78","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (PEX14)    DRscDB Data: (PEX14)                             Human Protein Atlas  (HPA)"
"42","PTC3","852224","S000000152","PTC3","Human","5495","9276","PPM1B","ENSG00000138032","5","4.81","high","Yes","Yes","eggNOG, OMA, OrthoFinder, OrthoInspector, orthoMCL","","Add","G2F details (PPM1B)    DRscDB Data: (PPM1B)                             Human Protein Atlas  (HPA)"
"42","PTC3","852224","S000000152","PTC3","Human","5494","9275","PPM1A","ENSG00000100614","4","3.8","moderate","No","No","eggNOG, OrthoFinder, OrthoInspector, orthoMCL","","Add","G2F details (PPM1A)    DRscDB Data: (PPM1A)                             Human Protein Atlas  (HPA)"
"42","PTC3","852224","S000000152","PTC3","Human","147699","26845","PPM1N","ENSG00000213889","3","2.9","moderate","No","Yes","eggNOG, OrthoFinder, OrthoInspector","","Add","G2F details (PPM1N)    DRscDB Data: (PPM1N)                             Human Protein Atlas  (HPA)"
"42","PTC3","852224","S000000152","PTC3","Human","10454","18157","TAB1","ENSG00000100324","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (TAB1)    DRscDB Data: (TAB1)                             Human Protein Atlas  (HPA)"
"42","PTC3","852224","S000000152","PTC3","Human","5496","9278","PPM1G","ENSG00000115241","3","2.9","low","No","No","eggNOG, orthoMCL, Panther","","Add","G2F details (PPM1G)    DRscDB Data: (PPM1G)                             Human Protein Atlas  (HPA)"
"43","PUF2","856155","S000006246","PUF2","Human","23369","14958","PUM2","ENSG00000055917","2","1.85","moderate","Yes","No","eggNOG, Isobase","","Add","G2F details (PUM2)    DRscDB Data: (PUM2)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","65975","14568","STK33","ENSG00000130413","3","2.93","high","Yes","Yes","Compara, eggNOG, Panther","","Add","G2F details (STK33)    DRscDB Data: (STK33)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","79012","28788","CAMKV","ENSG00000164076","3","2.79","moderate","Yes","No","Compara, eggNOG, TreeFam","","Add","G2F details (CAMKV)    DRscDB Data: (CAMKV)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","5681","9529","PSKH1","ENSG00000159792","3","2.79","moderate","Yes","No","Compara, eggNOG, TreeFam","","Add","G2F details (PSKH1)    DRscDB Data: (PSKH1)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","85481","18997","PSKH2","ENSG00000147613","3","2.79","moderate","Yes","No","Compara, eggNOG, TreeFam","","Add","G2F details (PSKH2)    DRscDB Data: (PSKH2)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","139728","13415","PNCK","ENSG00000130822","3","2.78","moderate","Yes","No","Compara, eggNOG, Isobase","","Add","G2F details (PNCK)    DRscDB Data: (PNCK)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","166614","19002","DCLK2","ENSG00000170390","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (DCLK2)    DRscDB Data: (DCLK2)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","9201","2700","DCLK1","ENSG00000133083","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (DCLK1)    DRscDB Data: (DCLK1)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","85443","19005","DCLK3","ENSG00000163673","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (DCLK3)    DRscDB Data: (DCLK3)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","8536","1459","CAMK1","ENSG00000134072","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CAMK1)    DRscDB Data: (CAMK1)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","57172","14585","CAMK1G","ENSG00000008118","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CAMK1G)    DRscDB Data: (CAMK1G)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","57118","19341","CAMK1D","ENSG00000183049","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CAMK1D)    DRscDB Data: (CAMK1D)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","91807","29826","MYLK3","ENSG00000140795","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (MYLK3)    DRscDB Data: (MYLK3)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","340156","27972","MYLK4","ENSG00000145949","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (MYLK4)    DRscDB Data: (MYLK4)                             Human Protein Atlas  (HPA)"
"44","RCK1","852719","S000003126","RCK1","Human","85366","16243","MYLK2","ENSG00000101306","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (MYLK2)    DRscDB Data: (MYLK2)                             Human Protein Atlas  (HPA)"
"45","RPL25","853993","S000005487","RPL25","Human","6147","10317","RPL23A","ENSG00000198242","11","10.86","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPL23A)    DRscDB Data: (RPL23A)                             Human Protein Atlas  (HPA)"
"46","RPL26A","851058","S000004336","RPL26A","Human","6154","10327","RPL26","ENSG00000161970","12","11.76","moderate","Yes","No","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (RPL26)    DRscDB Data: (RPL26)                             Human Protein Atlas  (HPA)"
"46","RPL26A","851058","S000004336","RPL26A","Human","51121","17050","RPL26L1","ENSG00000037241","11","10.76","moderate","No","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (RPL26L1)    DRscDB Data: (RPL26L1)                             Human Protein Atlas  (HPA)"
"47","RPL31A","851484","S000002233","RPL31A","Human","6160","10334","RPL31","ENSG00000071082","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPL31)    DRscDB Data: (RPL31)                             Human Protein Atlas  (HPA)"
"48","RPN11","850554","S000001900","RPN11","Human","10213","16889","PSMD14","ENSG00000115233","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (PSMD14)    DRscDB Data: (PSMD14)                             Human Protein Atlas  (HPA)"
"49","RPS0A","853128","S000003446","RPS0A","Human","3921","6502","RPSA","ENSG00000168028","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPSA)    DRscDB Data: (RPSA)                             Human Protein Atlas  (HPA)"
"50","RPS10A","854468","S000005819","RPS10A","Human","6204","10383","RPS10","ENSG00000124614","10","9.85","high","Yes","Yes","eggNOG, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS10)    DRscDB Data: (RPS10)                             Human Protein Atlas  (HPA)"
"50","RPS10A","854468","S000005819","RPS10A","Human","93144","15795","RPS10P5","ENSG00000101278","4","4.06","moderate","No","Yes","Inparanoid, OrthoInspector, Panther, Phylome","","Add","G2F details (RPS10P5)    DRscDB Data: (RPS10P5)                             Human Protein Atlas  (HPA)"
"50","RPS10A","854468","S000005819","RPS10A","Human","100529239","49181","RPS10-NUDT3","ENSG00000270800","3","3","moderate","No","Yes","eggNOG, OrthoFinder, Panther","","Add","G2F details (RPS10-NUDT3)    DRscDB Data: (RPS10-NUDT3)                             Human Protein Atlas  (HPA)"
"50","RPS10A","854468","S000005819","RPS10A","Human","5339","9069","PLEC","ENSG00000178209","2","1.81","moderate","No","Yes","eggNOG, Phylome","","Add","G2F details (PLEC)    DRscDB Data: (PLEC)                             Human Protein Atlas  (HPA)"
"51","RPS12","854551","S000005896","RPS12","Human","6206","10385","RPS12","ENSG00000112306","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS12)    DRscDB Data: (RPS12)                             Human Protein Atlas  (HPA)"
"52","RPS13","851636","S000002471","RPS13","Human","6207","10386","RPS13","ENSG00000110700","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS13)    DRscDB Data: (RPS13)                             Human Protein Atlas  (HPA)"
"53","RPS14A","850397","S000000627","RPS14A","Human","6208","10387","RPS14","ENSG00000164587","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS14)    DRscDB Data: (RPS14)                             Human Protein Atlas  (HPA)"
"53","RPS14A","850397","S000000627","RPS14A","Human","64963","14050","MRPS11","ENSG00000181991","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","G2F details (MRPS11)    DRscDB Data: (MRPS11)                             Human Protein Atlas  (HPA)"
"54","RPS15","854117","S000005400","RPS15","Human","6209","10388","RPS15","ENSG00000115268","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS15)    DRscDB Data: (RPS15)                             Human Protein Atlas  (HPA)"
"55","RPS17A","854984","S000004486","RPS17A","Human","6218","10397","RPS17","ENSG00000182774","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS17)    DRscDB Data: (RPS17)                             Human Protein Atlas  (HPA)"
"56","RPS18A","852061","S000002858","RPS18A","Human","6222","10401","RPS18","ENSG00000231500","8","7.8","moderate","Yes","No","Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, TreeFam","","Add","G2F details (RPS18)    DRscDB Data: (RPS18)                             Human Protein Atlas  (HPA)"
"57","RPS19A","854028","S000005481","RPS19A","Human","6223","10402","RPS19","ENSG00000105372","11","10.86","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS19)    DRscDB Data: (RPS19)                             Human Protein Atlas  (HPA)"
"58","RPS1A","851162","S000004433","RPS1A","Human","6189","10421","RPS3A","ENSG00000145425","11","10.86","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS3A)    DRscDB Data: (RPS3A)                             Human Protein Atlas  (HPA)"
"59","RPS20","856371","S000001007","RPS20","Human","6224","10405","RPS20","ENSG00000008988","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS20)    DRscDB Data: (RPS20)                             Human Protein Atlas  (HPA)"
"60","RPS22A","853249","S000003726","RPS22A","Human","6210","10389","RPS15A","ENSG00000134419","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS15A)    DRscDB Data: (RPS15A)                             Human Protein Atlas  (HPA)"
"61","RPS27A","853700","S000001639","RPS27A","Human","6232","10416","RPS27","ENSG00000177954","12","11.86","moderate","Yes","No","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS27)    DRscDB Data: (RPS27)                             Human Protein Atlas  (HPA)"
"61","RPS27A","853700","S000001639","RPS27A","Human","51065","18476","RPS27L","ENSG00000185088","10","9.83","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (RPS27L)    DRscDB Data: (RPS27L)                             Human Protein Atlas  (HPA)"
"62","RPS3","855543","S000005122","RPS3","Human","6188","10420","RPS3","ENSG00000149273","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS3)    DRscDB Data: (RPS3)                             Human Protein Atlas  (HPA)"
"63","RPS6A","856015","S000006011","RPS6A","Human","6194","10429","RPS6","ENSG00000137154","12","11.88","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (RPS6)    DRscDB Data: (RPS6)                             Human Protein Atlas  (HPA)"
"64","RPS7A","854263","S000005622","RPS7A","Human","6201","10440","RPS7","ENSG00000171863","12","11.79","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS7)    DRscDB Data: (RPS7)                             Human Protein Atlas  (HPA)"
"65","RPS8A","852206","S000000168","RPS8A","Human","6202","10441","RPS8","ENSG00000142937","8","7.8","moderate","Yes","No","Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, TreeFam","","Add","G2F details (RPS8)    DRscDB Data: (RPS8)                             Human Protein Atlas  (HPA)"
"66","RPS9A","856024","S000006002","RPS9A","Human","6203","10442","RPS9","ENSG00000170889","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (RPS9)    DRscDB Data: (RPS9)                             Human Protein Atlas  (HPA)"
"67","RTC1","853982","S000005498","RTC1","Human","84219","20852","WDR24","ENSG00000127580","7","6.91","high","Yes","Yes","Compara, eggNOG, Inparanoid, OrthoFinder, orthoMCL, Panther, RoundUp","","Add","G2F details (WDR24)    DRscDB Data: (WDR24)                             Human Protein Atlas  (HPA)"
"68","RTG3","852171","S000000199","RTG3","Human","4286","7105","MITF","ENSG00000187098","5","5.03","high","Yes","Yes","eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp","","Add","G2F details (MITF)    DRscDB Data: (MITF)                             Human Protein Atlas  (HPA)"
"68","RTG3","852171","S000000199","RTG3","Human","7942","11753","TFEB","ENSG00000112561","5","5.03","high","Yes","Yes","eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp","","Add","G2F details (TFEB)    DRscDB Data: (TFEB)                             Human Protein Atlas  (HPA)"
"68","RTG3","852171","S000000199","RTG3","Human","7030","11752","TFE3","ENSG00000068323","4","4","moderate","No","Yes","eggNOG, OrthoFinder, OrthoInspector, Panther","","Add","G2F details (TFE3)    DRscDB Data: (TFE3)                             Human Protein Atlas  (HPA)"
"68","RTG3","852171","S000000199","RTG3","Human","7392","12594","USF2","ENSG00000105698","4","3.84","moderate","No","Yes","eggNOG, OrthoInspector, Phylome, RoundUp","","Add","G2F details (USF2)    DRscDB Data: (USF2)                             Human Protein Atlas  (HPA)"
"68","RTG3","852171","S000000199","RTG3","Human","22797","11754","TFEC","ENSG00000105967","3","3","moderate","No","Yes","eggNOG, OrthoFinder, Panther","","Add","G2F details (TFEC)    DRscDB Data: (TFEC)                             Human Protein Atlas  (HPA)"
"68","RTG3","852171","S000000199","RTG3","Human","7391","12593","USF1","ENSG00000158773","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (USF1)    DRscDB Data: (USF1)                             Human Protein Atlas  (HPA)"
"69","SAK1","856866","S000000931","SAK1","Human","84254","1469","CAMKK1","ENSG00000004660","7","6.7","moderate","Yes","No","eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam","","Add","G2F details (CAMKK1)    DRscDB Data: (CAMKK1)                             Human Protein Atlas  (HPA)"
"69","SAK1","856866","S000000931","SAK1","Human","10645","1470","CAMKK2","ENSG00000110931","7","6.6","moderate","Yes","No","Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Phylome, TreeFam","","Add","G2F details (CAMKK2)    DRscDB Data: (CAMKK2)                             Human Protein Atlas  (HPA)"
"70","SAP185","853347","S000003634","SAP185","Human","55291","1173","PPP6R3","ENSG00000110075","10","9.82","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (PPP6R3)    DRscDB Data: (PPP6R3)                             Human Protein Atlas  (HPA)"
"70","SAP185","853347","S000003634","SAP185","Human","9701","19253","PPP6R2","ENSG00000100239","10","9.82","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (PPP6R2)    DRscDB Data: (PPP6R2)                             Human Protein Atlas  (HPA)"
"70","SAP185","853347","S000003634","SAP185","Human","22870","29195","PPP6R1","ENSG00000105063","10","9.82","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (PPP6R1)    DRscDB Data: (PPP6R1)                             Human Protein Atlas  (HPA)"
"71","SEC24","854697","S000001371","SEC24","Human","10427","10704","SEC24B","ENSG00000138802","12","11.78","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (SEC24B)    DRscDB Data: (SEC24B)                             Human Protein Atlas  (HPA)"
"71","SEC24","854697","S000001371","SEC24","Human","10802","10703","SEC24A","ENSG00000113615","12","11.78","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (SEC24A)    DRscDB Data: (SEC24A)                             Human Protein Atlas  (HPA)"
"72","SIT4","851513","S000002205","SIT4","Human","5537","9323","PPP6C","ENSG00000119414","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (PPP6C)    DRscDB Data: (PPP6C)                             Human Protein Atlas  (HPA)"
"72","SIT4","851513","S000002205","SIT4","Human","5531","9319","PPP4C","ENSG00000149923","3","2.91","low","No","No","eggNOG, OMA, OrthoFinder","","Add","G2F details (PPP4C)    DRscDB Data: (PPP4C)                             Human Protein Atlas  (HPA)"
"72","SIT4","851513","S000002205","SIT4","Human","5515","9299","PPP2CA","ENSG00000113575","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (PPP2CA)    DRscDB Data: (PPP2CA)                             Human Protein Atlas  (HPA)"
"72","SIT4","851513","S000002205","SIT4","Human","5516","9300","PPP2CB","ENSG00000104695","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (PPP2CB)    DRscDB Data: (PPP2CB)                             Human Protein Atlas  (HPA)"
"72","SLX9","852972","S000003313","SLX9","","none found","","","","","","","","","","","",""
"72","SPT21","855217","S000004791","SPT21","","none found","","","","","","","","","","","",""
"73","SSE2","852467","S000000373","SSE2","Human","10808","16969","HSPH1","ENSG00000120694","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (HSPH1)    DRscDB Data: (HSPH1)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","22824","17041","HSPA4L","ENSG00000164070","13","12.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (HSPA4L)    DRscDB Data: (HSPA4L)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","3308","5237","HSPA4","ENSG00000170606","12","11.79","moderate","No","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (HSPA4)    DRscDB Data: (HSPA4)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","3312","5241","HSPA8","ENSG00000109971","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (HSPA8)    DRscDB Data: (HSPA8)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","3303","5232","HSPA1A","ENSG00000204389","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (HSPA1A)    DRscDB Data: (HSPA1A)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","3310","5239","HSPA6","ENSG00000173110","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (HSPA6)    DRscDB Data: (HSPA6)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","3304","5233","HSPA1B","ENSG00000204388","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (HSPA1B)    DRscDB Data: (HSPA1B)                             Human Protein Atlas  (HPA)"
"73","SSE2","852467","S000000373","SSE2","Human","3305","5234","HSPA1L","ENSG00000204390","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (HSPA1L)    DRscDB Data: (HSPA1L)                             Human Protein Atlas  (HPA)"
"73","SWI6","850879","S000004172","SWI6","","none found","","","","","","","","","","","",""
"74","TMT1","856922","S000000977","TMT1","Human","155368","19068","METTL27","ENSG00000165171","3","2.86","high","Yes","Yes","Compara, eggNOG, RoundUp","","Add","G2F details (METTL27)    DRscDB Data: (METTL27)                             Human Protein Atlas  (HPA)"
"74","TMT1","856922","S000000977","TMT1","Human","196410","28276","METTL7B","ENSG00000170439","3","2.86","moderate","Yes","No","Compara, eggNOG, RoundUp","","Add","G2F details (METTL7B)    DRscDB Data: (METTL7B)                             Human Protein Atlas  (HPA)"
"74","TMT1","856922","S000000977","TMT1","Human","25840","24550","METTL7A","ENSG00000185432","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (METTL7A)    DRscDB Data: (METTL7A)                             Human Protein Atlas  (HPA)"
"75","ULP2","854780","S000001293","ULP2","Human","57337","30402","SENP7","ENSG00000138468","7","6.72","high","Yes","Yes","Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, Phylome, RoundUp","","Add","G2F details (SENP7)    DRscDB Data: (SENP7)                             Human Protein Atlas  (HPA)"
"75","ULP2","854780","S000001293","ULP2","Human","26054","20944","SENP6","ENSG00000112701","6","5.77","moderate","No","Yes","Compara, eggNOG, OrthoFinder, OrthoInspector, Phylome, RoundUp","","Add","G2F details (SENP6)    DRscDB Data: (SENP6)                             Human Protein Atlas  (HPA)"
"75","ULP2","854780","S000001293","ULP2","Human","26168","17862","SENP3","ENSG00000161956","2","2","low","No","No","eggNOG, Panther","","Add","G2F details (SENP3)    DRscDB Data: (SENP3)                             Human Protein Atlas  (HPA)"
"75","ULP2","854780","S000001293","ULP2","Human","29843","17927","SENP1","ENSG00000079387","2","2","low","No","No","eggNOG, Panther","","Add","G2F details (SENP1)    DRscDB Data: (SENP1)                             Human Protein Atlas  (HPA)"
"75","ULP2","854780","S000001293","ULP2","Human","205564","28407","SENP5","ENSG00000119231","2","2","low","No","No","eggNOG, Panther","","Add","G2F details (SENP5)    DRscDB Data: (SENP5)                             Human Protein Atlas  (HPA)"
"75","ULP2","854780","S000001293","ULP2","Human","59343","23116","SENP2","ENSG00000163904","2","2","low","No","No","eggNOG, Panther","","Add","G2F details (SENP2)    DRscDB Data: (SENP2)                             Human Protein Atlas  (HPA)"
"76","UTP10","853335","S000003645","UTP10","Human","55127","25517","HEATR1","ENSG00000119285","11","10.78","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (HEATR1)    DRscDB Data: (HEATR1)                             Human Protein Atlas  (HPA)"
"77","VAM6","851482","S000002235","VAM6","Human","23339","20593","VPS39","ENSG00000166887","9","8.72","high","Yes","Yes","Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (VPS39)    DRscDB Data: (VPS39)                             Human Protein Atlas  (HPA)"
